files_changed,branches_count,time_since_previous_commit,time_since_previous_commit_days,commit_frequency_24h,commit_hour,commit_day,commit_month,commit_dayofweek,activity_frequency,activity_encoded,author_commit_count,author_unique_files,author_median_files_changed,file_reuse,branch_reuse,files_changed_rolling_avg_7d,branches_count_rolling_avg_7d,time_since_previous_commit_rolling_avg_7d,activity_frequency_rolling_avg_7d,anomaly_score_iqr,is_anomaly_iqr,anomaly_score_zscore,is_anomaly_zscore,anomaly_score_percentile,is_anomaly_percentile_95,is_anomaly_percentile_99,is_anomaly_percentile_999,anomaly_score_combined,is_anomaly_combined,anomaly_score_robust,is_anomaly_robust,anomaly_score_final,is_anomaly_final
1,14,654.0,0.0075694444444444,0,13,2,3,3,4122,43,421,1818,4.0,True,True,4.467532467532467,13.324675324675324,0.0920579304954304,4388.987012987013,0.0,False,0.6403334841401173,False,5.526293451990069e-05,True,False,False,0.1921221504158431,False,0.12324087680412016,True,0.1909074059696893,True
2,14,2410.0,0.0278935185185185,0,13,2,3,3,3992,5,1023,3102,2.0,True,True,4.435897435897436,13.333333333333334,0.0912353098290598,4383.897435897436,0.0,False,0.7263105111153099,False,5.3892902190115846e-05,True,False,False,0.2179147104954689,False,0.10099992468979918,True,0.2068410821768248,True
3,14,5507.0,0.0637384259259259,0,15,2,3,3,4122,43,260,749,2.0,True,True,4.417721518987341,13.341772151898734,0.0908872480075011,4380.5822784810125,0.0,False,0.6312464887139417,False,5.255755422311064e-05,True,False,False,0.1893949696358717,False,0.12320389119440615,True,0.18862573436564273,True
1,14,2383.0,0.0275810185185185,0,16,2,3,3,3992,5,1023,3102,2.0,True,True,4.375,13.35,0.0900959201388888,4375.725,0.0,False,0.7285236990756839,False,5.125558995528054e-05,True,False,False,0.2185776119586872,False,0.10096386964750909,True,0.20738470607828707,True
1,14,1910.0,0.0221064814814814,0,16,2,3,3,3992,5,1023,3102,2.0,True,True,4.333333333333333,13.358024691358024,0.0892565443529949,4370.987654320988,0.0,False,0.7315498135967073,False,4.998577295332285e-05,True,False,False,0.2194849383881935,False,0.10094650981233237,True,0.20813657729549825,True
1,14,4913.0,0.0568634259259259,0,18,2,3,3,5625,18,61,66,1.0,True,True,4.379746835443038,13.341772151898734,0.0888036216596342,4327.392405063291,0.0,False,0.7248786035481812,False,5.255755422311064e-05,True,False,False,0.2174846040861436,False,0.039870557861072825,True,0.1912004297408693,True
10,14,1541.0,0.0178356481481481,0,18,2,3,3,4122,43,260,749,2.0,True,True,4.45,13.35,0.0879165219907407,4324.825,0.0,False,0.6722683282493823,False,5.125558995528054e-05,True,False,False,0.2017010007107968,False,0.42874164742528686,True,0.2752653078161561,True
1,14,475.0,0.0054976851851851,0,18,2,3,3,4122,43,260,749,2.0,True,True,4.407407407407407,13.358024691358024,0.0868990054869684,4322.320987654321,0.0,False,0.6823149223900645,False,4.998577295332285e-05,True,False,False,0.2047144710262007,False,0.12316873203455457,True,0.2013834100493931,True
1,14,494.0,0.0057175925925925,0,18,2,3,3,4122,43,260,749,2.0,True,True,4.365853658536586,13.365853658536585,0.0859089882565492,4319.878048780488,0.0,False,0.6830783618767599,False,4.874692709775416e-05,True,False,False,0.204943007333867,False,0.12315179560999193,True,0.20156972610346238,True
3,14,2898.0,0.0335416666666666,0,19,2,3,3,4122,43,260,749,2.0,True,True,4.378048780487805,13.365853658536585,0.0854698791779584,4335.024390243902,0.0,False,0.6767941055491369,False,4.874692709775416e-05,True,False,False,0.2030577304355801,False,0.12315179560999193,True,0.19999866202155664,True
